term,corpus_count,School,Field,Year,PDF,left_context,matched_term,right_context
ere,72,SBE,Building_Technology,2014,a_humanoid_robot_for_research_into_kicking_rugby_balls_2014.pdf,gauge The solenoid valves w,ere,provided by SMC Corporation of
tamura,31,SBE,Building_Technology,2014,a_humanoid_robot_for_research_into_kicking_rugby_balls_2014.pdf,2 13 4 Ha I,Tamura,Y Asama H Han J
automa,17,SBE,Building_Technology,2014,a_humanoid_robot_for_research_into_kicking_rugby_balls_2014.pdf,International Conference on Robotics and,Automa,tion 21 27 May Aichi
reneke,28,SBE,Building_Technology,2014,data_collection_approaches_for_the_study_of_the_decision_making_process_in_fire_evacuations_2014.pdf,Kinateder E Kuligowski P A,Reneke,R D Peacock A Review
ere,72,SBE,Building_Technology,2014,occupants_perspectives_of_a_five_green_star_certified_school_building_2014.pdf,Workspace design and management w,ere,generally satisfactory Jamaludin et al
automata,36,SBE,Building_Technology,2014,the_role_of_herding_behaviour_in_exit_choice_during_evacuation_2014.pdf,several approaches which include cellular,automata,models lattice gas models social
reneke,28,SBE,Building_Technology,2014,the_role_of_herding_behaviour_in_exit_choice_during_evacuation_2014.pdf,19 3 030501 Ronchi E,Reneke,P A and Peacock R
ea,228,SBE,Building_Technology,2014,the_validation_of_evacuation_simulation_models_through_the_analysis_of_behavioural_uncertainty_2014.pdf,t1 t2 tk tn b,ea,n ndimensional vector which represents
automata,36,SBE,Building_Technology,2014,the_validation_of_evacuation_simulation_models_through_the_analysis_of_behavioural_uncertainty_2014.pdf,and their implications for cellular,automata,models In Timmermans H editor
reneke,28,SBE,Building_Technology,2014,the_validation_of_evacuation_simulation_models_through_the_analysis_of_behavioural_uncertainty_2014.pdf,471 80 11 Ronchi E,Reneke,PA Peacock RD A method
iare,28,SBE,Building_Technology,2014,the_validation_of_evacuation_simulation_models_through_the_analysis_of_behavioural_uncertainty_2014.pdf,simulated series ERDS iand EPCS,iare,normally distributed Thus 2 sample
reneke,28,SBE,Building_Technology,2015,a_mixed_ordered_approach_to_investigate_correlations_among_different_affordances_in_fire_evacuation_2015.pdf,Evaluation 2015 12 Ronchi E,Reneke,P A Peacock R D
automata,36,SBE,Building_Technology,2015,a_model_of_the_decision_making_process_during_pre_evacuation_2015.pdf,rise building evacuation with cellular,automata,approaches Autom Constr 17 2008
reneke,28,SBE,Building_Technology,2015,a_model_of_the_decision_making_process_during_pre_evacuation_2015.pdf,inspired by those proposed by,Reneke,17 namely normal in vestigating
automata,36,SBE,Building_Technology,2015,calibrating_floor_field_cellular_automaton_models_for_pedestrian_dynamics_by_using_likelihood_function_optimization_2015.pdf,network models e g cellular,automata,11 etc There is not
ture,73,SBE,Building_Technology,2015,the_need_of_latent_variables_for_modelling_decision_making_in_evacuation_simulations_2015.pdf,also known in the litera,ture,with different names i e
automata,36,SBE,Building_Technology,2015,the_need_of_latent_variables_for_modelling_decision_making_in_evacuation_simulations_2015.pdf,g floo r field cellular,automata,model physical force based models
teo,33,SBE,Building_Technology,2015,the_need_of_latent_variables_for_modelling_decision_making_in_evacuation_simulations_2015.pdf,x 48 J S E,Teo,J D Schmöcker F Leon
nee,29,SBE,Building_Technology,2015,the_need_of_latent_variables_for_modelling_decision_making_in_evacuation_simulations_2015.pdf,All the pos sible approaches,nee,d to ensure that the
ao,66,SBE,Building_Technology,2016,affordance-based_evaluation_of_signage_design_for_areas_of_refuge_2016.pdf,Cognitive Affordance Having sensed the,Ao,R signage system an individual
ame,25,SBE,Building_Technology,2016,affordance-based_evaluation_of_signage_design_for_areas_of_refuge_2016.pdf,P eople a serious g,ame,platf orm f or inf
pone,117,SBE,Building_Technology,2016,a_dynamic_approach_for_the_impact_of_a_toxic_gas_dispersion_hazard_considering_human_behaviour_and_dispersion_modelling_2016.pdf,doi org 10 1371 journal,pone,0020139 35 G Maragkos T
uo,26,SBE,Building_Technology,2016,a_mixed_logit_model_for_predicting_exit_choice_during_building_evacuations_2016.pdf,exit choice Huang and G,uo,10 propose d a multinomial
rahouti,29,SBE,Building_Technology,2016,a_sensitivity_analysis_of_a_hospital_evacuation_in_case_of_fire_2016.pdf,o occupant s ratio Anass,Rahouti,Selim Datoussaïd and Ruggiero Lovreglio
