term,corpus_count,sampled_contexts
ea,228,5
pone,117,5
mau,114,5
hou,90,5
puri,90,5
aotearoa,88,5
waikato,80,5
ure,78,5
hao,75,5
ture,73,5
ere,72,5
noti,71,5
mana,69,5
manawatu,67,5
ao,66,5
ine,66,5
tanaka,65,5
ara,63,5
ito,60,5
rotorua,57,5
ani,54,5
ina,53,5
ata,52,5
porirua,52,5
maori,51,5
taranaki,49,5
niwa,48,5
kuramoto,48,5
pore,47,5
mei,46,5
iwi,45,5
ome,44,5
mea,43,5
aei,43,5
ue,43,5
akaike,43,5
moreno,43,5
māori,41,5
whenua,39,5
ree,38,5
wai,38,5
romero,38,5
kuo,37,5
kimura,37,5
automata,36,5
hui,36,5
runge,36,5
pii,35,5
niu,34,5
pini,34,5
teo,33,5
eme,33,5
mora,33,5
ene,32,5
tamura,31,5
epi,31,5
taupo,31,5
whi,30,5
hira,30,5
tonga,30,5
ima,30,5
nee,29,5
rahouti,29,5
anu,29,5
nakamura,29,5
reneke,28,5
iare,28,5
ite,28,5
ena,28,5
minima,28,5
herawati,28,5
kato,27,5
ope,27,5
popu,27,5
neri,27,5
kema,27,5
uo,26,5
inoue,26,5
hea,26,5
mena,26,5
opoku,26,5
ame,25,5
toa,25,5
ute,25,5
kiwi,25,5
tohoku,25,5
ato,25,5
tongariro,25,5
hane,25,5
moana,25,5
nge,24,5
nare,24,5
iea,23,5
rii,23,5
ua,23,5
pare,23,5
ono,23,5
nga,23,5
nono,23,1
pangenome,23,5
nanopore,23,5
moreira,22,5
ano,22,5
kauri,22,5
hoai,22,5
ngowi,22,5
ruapehu,22,5
ime,21,5
amore,21,5
amo,21,5
ona,21,5
kao,21,5
ori,21,5
wherea,21,5
neto,20,5
nakano,20,5
motu,20,5
mani,20,5
rami,20,5
mori,20,5
ete,20,5
tapia,20,5
paenga,20,5
merino,19,5
kaka,19,5
ake,19,5
arora,19,5
natu,19,5
tongarewa,19,5
pape,18,5
wou,18,5
ngai,18,5
uri,18,5
rana,18,5
whanganui,18,5
aro,18,5
maki,18,5
mata,18,5
aia,18,5
oke,18,5
eae,18,5
nakai,18,5
arangi,18,5
automa,17,5
irani,17,5
uti,17,5
keane,17,5
romano,17,5
kumi,17,5
repo,17,5
ature,17,5
otu,17,5
humana,17,5
roa,16,5
hone,16,5
huo,16,5
reiterate,16,5
materi,16,5
naire,16,5
hei,16,5
engineeri,16,0
kuma,16,0
initio,16,0
hemi,16,0
peramine,16,0
ane,15,0
ini,15,0
eea,15,0
pai,15,0
whe,15,0
okamoto,15,0
manaaki,15,0
kaikoura,15,0
mari,15,0
karimi,15,0
taonga,15,0
toone,15,0
awa,15,0
manu,15,0
tae,15,0
pena,15,0
ratiu,15,0
parame,15,0
monotone,15,0
tare,15,0
pirie,15,0
nome,15,0
ehara,15,0
kitao,15,0
morokuma,15,0
ria,14,0
nimo,14,0
emanate,14,0
rohe,14,0
ama,14,0
apa,14,0
engi,14,0
iia,14,0
nomura,14,0
tahu,14,0
