School,Field,documents,phase1_instances,phase2_instances,removed_instances,total_words,median_phase2_density_per_10k,phase2_corpus_density_per_10k,removed_percent
SBE,Building_Technology,94,648,318,330,926099,2.8464,3.4338,50.9259
SBE,Built_Environment,119,1402,913,489,1870279,3.0731,4.8816,34.8787
SBE,Construction_Management,177,3009,1621,1388,5058912,2.3084,3.2042,46.1283
SBE,Quantity_Surveying,32,398,232,166,806543,4.0942,2.8765,41.7085
SMCS,Computer Science,185,1233,623,610,2111055,2.082,2.9511,49.4728
SMCS,Mathematics,123,978,471,507,965010,3.0656,4.8808,51.8405
SMCS,Statistics,163,2440,1762,678,1671956,5.748,10.5386,27.7869
SNS,Biology,208,2959,1850,1109,1931259,6.3845,9.5792,37.4789
SNS,Chemistry,107,925,532,393,762834,4.451,6.974,42.4865
SNS,Genetics,63,593,345,248,511379,4.4458,6.7465,41.8212
SNS,Plant_Science,40,667,538,129,369422,11.3566,14.5633,19.3403
SNS,Zoology_and_Ecology,80,1517,1086,431,1026315,7.8149,10.5815,28.4113
