Year,School,documents,phase1_instances,phase2_instances,removed_instances,total_words,phase2_corpus_density_per_10k,phase1_corpus_density_per_10k
2012,SBE,22,66,39,27,108147,3.6062,6.1028
2012,SMCS,41,551,382,169,449620,8.4961,12.2548
2012,SNS,34,296,183,113,315322,5.8036,9.3872
2013,SBE,18,190,145,45,99217,14.6144,19.1499
2013,SMCS,41,352,255,97,312853,8.1508,11.2513
2013,SNS,44,481,314,167,353984,8.8705,13.5882
2014,SBE,33,152,77,75,175902,4.3774,8.6412
2014,SMCS,33,271,144,127,281876,5.1086,9.6142
2014,SNS,28,199,136,63,171756,7.9182,11.5862
2015,SBE,30,144,70,74,228901,3.0581,6.2909
2015,SMCS,30,230,138,92,219203,6.2955,10.4926
2015,SNS,33,288,178,110,230335,7.7279,12.5035
2016,SBE,30,103,59,44,227702,2.5911,4.5235
2016,SMCS,53,639,361,278,706184,5.112,9.0486
2016,SNS,49,531,337,194,404504,8.3312,13.1272
2017,SBE,31,301,150,151,709798,2.1133,4.2406
2017,SMCS,38,405,275,130,279742,9.8305,14.4776
2017,SNS,41,458,254,204,339813,7.4747,13.478
2018,SBE,30,246,175,71,230534,7.5911,10.6709
2018,SMCS,48,372,192,180,680234,2.8226,5.4687
2018,SNS,38,904,707,197,315108,22.4368,28.6886
2019,SBE,38,685,367,318,1075052,3.4138,6.3718
2019,SMCS,54,403,226,177,379621,5.9533,10.6159
2019,SNS,59,831,537,294,759118,7.074,10.9469
2020,SBE,51,674,405,269,1161443,3.487,5.8031
2020,SMCS,56,625,382,243,709164,5.3866,8.8132
2020,SNS,47,593,368,225,427345,8.6113,13.8764
2021,SBE,45,1248,741,507,2577306,2.8751,4.8423
2021,SMCS,44,477,292,185,431339,6.7696,11.0586
2021,SNS,64,734,435,299,570094,7.6303,12.8751
2022,SBE,94,1648,856,792,2067831,4.1396,7.9697
2022,SMCS,33,326,209,117,298185,7.0091,10.9328
2022,SNS,61,1346,902,444,713830,12.6361,18.856
