group,term,group_count,rest_count,group_doc_frequency,rest_doc_frequency,log_likelihood,log2_ratio
2012-2016,hemi,13,3,9,3,20.190036807659826,3.354229665916187
2012-2016,otuataua,7,0,7,0,18.146032499421835,5.313587681418841
2012-2016,mauna,6,0,6,0,15.552192972296888,5.1071368039514144
2012-2016,motukorea,6,0,6,0,15.552192972296888,5.1071368039514144
2012-2016,otara,6,0,6,0,15.552192972296888,5.1071368039514144
2012-2016,puketutu,6,0,6,0,15.552192972296888,5.1071368039514144
2012-2016,wunga,6,0,6,0,15.552192972296888,5.1071368039514144
2012-2016,pukeiti,8,1,8,1,15.099838927701258,3.909197426339506
2012-2016,pupuke,8,1,8,1,15.099838927701258,3.909197426339506
2012-2016,hirano,5,0,5,0,12.958870224790076,4.86612870444762
2012-2016,matakarua,5,0,5,0,12.958870224790076,4.86612870444762
2012-2016,matamatapiako,5,0,5,0,12.958870224790076,4.86612870444762
2012-2016,pinea,5,0,5,0,12.958870224790076,4.86612870444762
2012-2016,pouhawaiki,5,0,5,0,12.958870224790076,4.86612870444762
2012-2016,pukekiwiriki,5,0,5,0,12.958870224790076,4.86612870444762
2012-2016,waitomokia,5,0,5,0,12.958870224790076,4.86612870444762
2012-2016,hopua,7,1,7,1,12.7563320276885,3.7286251806976853
2012-2016,pukaki,7,1,7,1,12.7563320276885,3.7286251806976853
2012-2016,whena,7,1,6,1,12.7563320276885,3.7286251806976853
2012-2016,arawa,7,2,6,1,9.88863830330278,2.991659586531479
2012-2016,onepoto,7,2,7,2,9.88863830330278,2.991659586531479
2012-2016,orakei,7,2,7,2,9.88863830330278,2.991659586531479
2012-2016,kohuora,5,1,5,1,8.191146761568586,3.281166203726464
2012-2016,pere,5,1,5,1,8.191146761568586,3.281166203726464
2012-2016,rangitoto,8,4,8,4,8.018198426831646,2.32423492561835
2012-2016,whangarei,7,3,7,3,7.844832310888805,2.5062327593612372
2012-2016,rito,6,2,6,2,7.832537017942994,2.7852087090640527
2012-2016,takano,6,2,6,2,7.832537017942994,2.7852087090640527
2012-2016,taro,8,5,6,4,6.610019282265738,2.034728308423365
2012-2016,ingo,7,4,7,4,6.280360995815347,2.1436626799765293
2012-2016,mapa,7,4,7,4,6.280360995815347,2.1436626799765293
2012-2016,murata,7,4,7,4,6.280360995815347,2.1436626799765293
2012-2016,takemoto,6,3,6,3,6.011607282868058,2.2997818818938107
2012-2016,aremore,4,1,4,1,6.001245269802686,2.991659586531479
2012-2016,ingenome,4,1,4,1,6.001245269802686,2.991659586531479
2012-2016,kaingaroa,4,1,4,1,6.001245269802686,2.991659586531479
2012-2016,mitarai,4,1,4,1,6.001245269802686,2.991659586531479
2012-2016,munga,4,1,4,1,6.001245269802686,2.991659586531479
2012-2016,puna,4,1,4,1,6.001245269802686,2.991659586531479
2012-2016,temitope,4,1,4,1,6.001245269802686,2.991659586531479
2017-2022,aotearoa,81,7,80,6,21.245173238653468,2.035140472812236
2017-2022,māori,38,3,38,3,10.657917854628264,2.0527345328269746
2017-2022,rohe,14,0,14,0,8.966439389695587,3.4512839093172496
2017-2022,kauri,21,1,15,1,7.905791309952571,2.434605168170619
2017-2022,kawakawa,12,0,12,0,7.684638286608482,3.237159103964402
2017-2022,kotahi,12,0,12,0,7.684638286608482,3.237159103964402
2017-2022,whakatipu,12,0,6,0,7.684638286608482,3.237159103964402
2017-2022,huia,11,0,10,0,7.043847977257193,3.1168648702466903
2017-2022,matatini,11,0,11,0,7.043847977257193,3.1168648702466903
2017-2022,nawari,11,0,10,0,7.043847977257193,3.1168648702466903
2017-2022,tāmaki,11,0,11,0,7.043847977257193,3.1168648702466903
2017-2022,aotea,10,0,10,0,6.403131140033447,2.9856203369684375
2017-2022,apārangi,10,0,10,0,6.403131140033447,2.9856203369684375
2017-2022,auwera,10,0,10,0,6.403131140033447,2.9856203369684375
2017-2022,enginee,10,0,8,0,6.403131140033447,2.9856203369684375
2017-2022,kāinga,10,0,10,0,6.403131140033447,2.9856203369684375
2017-2022,matara,10,0,10,0,6.403131140033447,2.9856203369684375
2017-2022,morana,10,0,10,0,6.403131140033447,2.9856203369684375
