term,total_frequency,document_frequency,document_percent,schools_present,fields_present,years_present,max_single_document_share
aotearoa,88,86,6.182602444284687,3,12,8,0.022727272727272728
waikato,80,71,5.104241552839683,3,10,11,0.025
manawatu,67,67,4.816678648454349,3,7,11,0.014925373134328358
rotorua,56,56,4.02588066139468,3,7,11,0.017857142857142856
porirua,52,52,3.7383177570093453,3,7,11,0.019230769230769232
maori,51,47,3.378864126527678,3,8,11,0.058823529411764705
taranaki,49,47,3.378864126527678,2,4,11,0.04081632653061224
iwi,45,42,3.01941049604601,3,8,10,0.044444444444444446
māori,41,41,2.9475197699496762,3,9,8,0.024390243902439025
whenua,39,34,2.4442846872753416,3,7,8,0.05128205128205128
taupo,31,31,2.2286125089863407,2,5,10,0.03225806451612903
tonga,30,29,2.0848310567936736,3,5,11,0.06666666666666667
kiwi,25,24,1.7253774263120056,2,6,8,0.08
tongariro,24,24,1.7253774263120056,2,4,10,0.041666666666666664
moana,25,23,1.6534867002156721,1,4,9,0.08
pare,23,23,1.6534867002156721,3,7,10,0.043478260869565216
ruapehu,22,21,1.509705248023005,1,1,10,0.09090909090909091
motu,20,20,1.4378145219266714,3,6,8,0.05
mori,20,20,1.4378145219266714,3,7,6,0.05
paenga,20,20,1.4378145219266714,1,2,8,0.05
tongarewa,19,19,1.3659237958303379,1,3,7,0.05263157894736842
pape,18,18,1.2940330697340043,3,7,8,0.05555555555555555
maki,18,18,1.2940330697340043,3,6,7,0.05555555555555555
kaka,19,17,1.2221423436376708,3,5,8,0.10526315789473684
rana,18,17,1.2221423436376708,3,7,8,0.1111111111111111
kauri,22,16,1.1502516175413373,3,5,6,0.09090909090909091
ngai,18,16,1.1502516175413373,2,5,6,0.1111111111111111
mata,18,16,1.1502516175413373,3,8,9,0.1111111111111111
whanganui,18,15,1.0783608914450036,3,5,7,0.1111111111111111
hone,16,15,1.0783608914450036,3,8,10,0.125
manaaki,15,15,1.0783608914450036,3,6,6,0.06666666666666667
kaikoura,15,15,1.0783608914450036,3,7,5,0.06666666666666667
ehara,15,15,1.0783608914450036,1,2,8,0.06666666666666667
taonga,15,14,1.00647016534867,2,5,4,0.13333333333333333
rohe,14,14,1.00647016534867,2,6,5,0.07142857142857142
kuri,14,14,1.00647016534867,3,4,6,0.07142857142857142
waka,14,14,1.00647016534867,3,6,5,0.07142857142857142
hauraki,14,14,1.00647016534867,2,4,8,0.07142857142857142
manu,15,13,0.9345794392523363,3,6,5,0.13333333333333333
okataina,13,13,0.9345794392523363,2,2,7,0.07692307692307693
rapa,13,13,0.9345794392523363,2,4,5,0.07692307692307693
koki,13,13,0.9345794392523363,1,1,10,0.07692307692307693
hemi,16,12,0.8626887131560028,1,3,5,0.125
pena,15,12,0.8626887131560028,3,6,7,0.13333333333333333
tahu,14,12,0.8626887131560028,2,4,6,0.14285714285714285
