,File,School,Field,Year,File_Path,Maori_words
0,environmental_input_output_analysis_of_the_new_zealand_dairy_industry_2012.pdf,SBE,Building_Technology,2012,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2012\environmental_input_output_analysis_of_the_new_zealand_dairy_industry_2012.pdf,"Nino,ane,pii,Turitea,EIOA,te,automati,Hite"
1,a_discrete_choice_model_based_on_random_utilities_for_exit_choice_in_emergency_evacuations_2014.pdf,SBE,Building_Technology,2014,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2014\a_discrete_choice_model_based_on_random_utilities_for_exit_choice_in_emergency_evacuations_2014.pdf,"Teoria,Moura"
2,a_humanoid_robot_for_research_into_kicking_rugby_balls_2014.pdf,SBE,Building_Technology,2014,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2014\a_humanoid_robot_for_research_into_kicking_rugby_balls_2014.pdf,"Mone,Nao,Naito,Pina,te,ere,Tamura,iki,Haake,Kee,HUMA,Automa,NAO,Namiki,Kono"
3,data_collection_approaches_for_the_study_of_the_decision_making_process_in_fire_evacuations_2014.pdf,SBE,Building_Technology,2014,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2014\data_collection_approaches_for_the_study_of_the_decision_making_process_in_fire_evacuations_2014.pdf,"Reneke,amou"
4,fast_apple_inspection_in_colour_space_2014.pdf,SBE,Building_Technology,2014,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2014\fast_apple_inspection_in_colour_space_2014.pdf,
5,occupants_perspectives_of_a_five_green_star_certified_school_building_2014.pdf,SBE,Building_Technology,2014,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2014\occupants_perspectives_of_a_five_green_star_certified_school_building_2014.pdf,ere
6,the_role_of_herding_behaviour_in_exit_choice_during_evacuation_2014.pdf,SBE,Building_Technology,2014,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2014\the_role_of_herding_behaviour_in_exit_choice_during_evacuation_2014.pdf,"ini,Reneke,AI,automata,Ingenieria"
7,the_validation_of_evacuation_simulation_models_through_the_analysis_of_behavioural_uncertainty_2014.pdf,SBE,Building_Technology,2014,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2014\the_validation_of_evacuation_simulation_models_through_the_analysis_of_behavioural_uncertainty_2014.pdf,"tE,Reneke,automata,TETi,iare,ea,TETE"
8,a_mixed_ordered_approach_to_investigate_correlations_among_different_affordances_in_fire_evacuation_2015.pdf,SBE,Building_Technology,2015,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2015\a_mixed_ordered_approach_to_investigate_correlations_among_different_affordances_in_fire_evacuation_2015.pdf,"Teoria,Reneke"
9,a_model_of_the_decision_making_process_during_pre_evacuation_2015.pdf,SBE,Building_Technology,2015,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2015\a_model_of_the_decision_making_process_during_pre_evacuation_2015.pdf,"timeTIME,Reneke,automata"
10,calibrating_floor_field_cellular_automaton_models_for_pedestrian_dynamics_by_using_likelihood_function_optimization_2015.pdf,SBE,Building_Technology,2015,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2015\calibrating_floor_field_cellular_automaton_models_for_pedestrian_dynamics_by_using_likelihood_function_optimization_2015.pdf,"aMoore,tomake,Reneke,automata,Umeo"
11,the_need_of_latent_variables_for_modelling_decision_making_in_evacuation_simulations_2015.pdf,SBE,Building_Technology,2015,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2015\the_need_of_latent_variables_for_modelling_decision_making_in_evacuation_simulations_2015.pdf,"Automata,Teo,nee,Reneke,imate,automata,ture,eene"
